"row","country","prob","escs","math","reading","science"
"249","China-Shanghai",0.8,0.56,642.2418,593.34765,601.7251
"250","China-Shanghai",1,2.22,671.6077,615.9914,628.4409
"251","Perm(Russian Federation)",0.2,-0.74,440.7306,441.7733,446.4192
"252","Perm(Russian Federation)",0.4,-0.27,471.73235,477.21925,477.5177
"253","Perm(Russian Federation)",0.6,0.2,488.7911,492.50555,478.4502
"254","Perm(Russian Federation)",0.8,0.59,517.84545,512.3044,508.70945
"255","Perm(Russian Federation)",1,1.97,515.43075,524.84435,523.9556
"256","Florida (USA)",0.2,-0.64,432.00655,460.4258,439.9851
"257","Florida (USA)",0.4,-0.03,442.60005,475.06585,464.36965
"258","Florida (USA)",0.6,0.498000000000002,460.4378,481.9507,476.5386
"259","Florida (USA)",0.8,0.97,467.79875,501.25335,495.32825
"260","Florida (USA)",1,2.49,522.32435,547.40275,547.4543
"261","Connecticut (USA)",0.2,-0.34,434.9665,458.3052,454.8116
"262","Connecticut (USA)",0.4,0.27,474.6923,493.8997,491.1787
"263","Connecticut (USA)",0.6,0.81,494.01,514.7904,504.2335
"264","Connecticut (USA)",0.8,1.25,538.68205,558.0553,553.6554
"265","Connecticut (USA)",1,2.53,578.2131,578.2617,578.8325
"266","Massachusetts (USA)",0.2,-0.44,446.7285,471.0298,464.0433
"267","Massachusetts (USA)",0.4,0.24,475.62705,499.5935,491.2253
"268","Massachusetts (USA)",0.6,0.75,508.9656,522.6895,524.7482
"269","Massachusetts (USA)",0.8,1.16,533.61895,548.61395,546.3819
"270","Massachusetts (USA)",1,2.53,578.9142,587.04205,588.20405
"271","Romania",0.2,-1.12,402.0953,396.5236,396.9974
"272","Romania",0.4,-0.76,421.5688,423.088,421.5218
"273","Romania",0.6,-0.345999999999995,435.9012,431.5886,426.5573
"274","Romania",0.8,0.38,451.1684,449.26575,446.5591
"275","Romania",1,2.46,506.97925,506.4346,499.52445
"276","Russia",0.2,-0.73,439.05595,426.7073,438.8661
"277","Russia",0.4,-0.28,458.2567,458.4003,468.799
"278","Russia",0.6,0.2,483.14375,481.9699,487.49535
"279","Russia",0.8,0.61,507.29085,502.8815,514.67735
"280","Russia",1,3.69,525.28435,524.3678,532.2081
"281","Singapore",0.2,-1.08,516.2876,486.8392,486.42295
"282","Singapore",0.4,-0.5,546.744,518.8402,521.671
"283","Singapore",0.6,-0.01,568.82695,538.9161,547.2678
"284","Singapore",0.8,0.58,604.65805,564.44075,582.9355
"285","Singapore",1,2.55,633.0503,604.087,615.38605
"286","Serbia",0.2,-1.09,411.5984,415.1303,414.7147
"287","Serbia",0.4,-0.66,433.4086,439.5278,433.3644
"288","Serbia",0.6,-0.15,438.0044,441.10765,434.1104
"289","Serbia",0.8,0.594000000000001,449.6105,453.4015,450.1492
"290","Serbia",1,2.52,503.3572,491.2053,490.2462
"291","Slovakia",0.2,-0.86,405.99,387.6728,396.1115
"292","Slovakia",0.4,-0.5,472.62815,465.2302,465.81495
"293","Slovakia",0.6,-0.03,481.6249,477.25935,474.30065
